CDC;Nome;Peso;Grade
00434105140;CEL REG BELO HORIZONTE;200000;239
00434108066;CEL PROC SERVS CONTR NEG BH;50000;239
00434134589;SUP INTERIOR SP;50000;239
00434134608;GSO MG BH IPATINGA;50000;239
00434134620;GSO MG BH ARAXA;50000;239
00434137687;GSO MONTES CLAROS PATOS MINAS;50000;239
00434137839;GSO MG CONTAGEM BETIM;50000;239
00434138116;SEGURANCA DO TRABALHO - MG;50000;239
00434138118;MEDICINA DO TRABALHO - MG;50000;239
00434170681;GSO GOVERNADOR VALADARES;50000;239
00434170682;GSO DIVINOPOLIS;50000;239
00434170683;GSO ALTO DO CAPARAO MG;50000;239
00434170684;GER SERV OP AG BH 2;50000;239
00434171156;LIDERANCA CULT PERFORMANCE;50000;239
00434176592;UNID OPERACOES;150000;239
