CDC;Nome;Peso;Grade
00404801044;WEALTH MANAGEMENT SERVICES;4546;268
00404810000;INSTITUCIONAL;42288.41;268
00434134323;GPO APOIO UNIDADES EXTERIOR;6343.25;268
00434135004;SUPERINT COML REG 61 RIONOR;6343.25;268
00434135429;DIR PRIVATE BANK;4546;268
00434137513;AREA DE AUDITORIA;14166.61;268
00434137807;GALAXINIM ADM PARTICIP LTDA;57507.98;268
00434139216;DIR SEGMENTO PERSONNALITE;110013.26;268
00434143365;SUP PLANEJAM SUPORTE A GESTAO;148474.54;268
00434172163;DIRETORIA DE FINANCAS VAREJO;57507.98;268
00434175554;INTEGRACAO VEICULOS;60702.87;268
00434175555;INTEGRACAO IMOBILIARIO;60702.87;268
00434175556;INTEGRACAO CONSORCIO;60702.87;268
00434175813;INTEGRACAO - BANCO PF;14166.73;268
00434175814;INTEGRACAO - AGENCIAS;14166.61;268
00434175816;INTEGRACAO - PREMIUM II;14166.61;268
00434175818;INTEG-CONSIG NAO CORRENTISTA;14166.61;268
00434175819;INTEGRACAO - WMS;4546;268
00434175822;INTEG-CLIENTES INSTITUCIONAIS;4546;268
00434175823;INTEGRACAO - INVEST E PREVIDEN;4546;268
00434175824;INTEGRACAO-SERV MERCADO CAPITA;4546;268
00434175830;INTEGRACAO - DPPJ;63897.76;268
00434175833;CEL INTEGRACAO CARTOES ITAU;6343.25;268
00434175834;INTEGRACAO FIC ITAU;6343.25;268
00434175835;INTEGRACAO FAI ITAU;6343.25;268
00434175837;INTEGRACAO - DIOEMP;63897.76;268
00434175839;INTEGRACAO PESSOAS;15974.44;268
00434175840;INTEGRACAO UNIDADES EXTERNAS;15974.44;268
00434175844;INTEGRACAO - MARKETING;63897.76;268
00434175845;INTEGRACAO - TECNOLOGIA;6343.25;268
02000500001;ITAU SEGUROS - MATRIZ;42288.39;268
