CDC;Nome;Peso;Grade
00404841212;SUP CONTRAT ATIVOS E GARANTIAS;25640;332
00434104805;PLAT PRIVATE SP1-B;76920;332
00434105052;PLAT PVT TL  HIGH SP 3;128210;332
00434109822;GER ATEND 30H PERSONNALITE;25690;332
00434134471;UNID CORRETORA E ACIONISTAS;205100;332
00434135948;DIR CRED MID CORP POL GOV DGA;25640;332
00434136267;GER PLD ATEND MIDIA E DENUNCIA;25640;332
00434136910;SUP DE NEGOCIOS CAMBIO;51280;332
00434137665;SUP PRODUTOS DE CREDITO;51280;332
00434138664;SUP CONSIG DOCS E IMPRESSAO;25640;332
00434165650;GER CAUSA RAIZ PLANEJ E DADOS;25640;332
00434170993;UNID SETUP DE PRODUTOS;25640;332
00434171055;GER ATC CONSIGNADOS;51280;332
00434171418;GER PREVENCAO A FRAUDES;25640;332
00434172831;COORD BKO COB VAREJO;25640;332
00434173606;UNID REQ INFO;51280;332
00434175018;GER OPER RECUP CREDITO;25640;332
00434175559;UNID PRC CONT BCO E INTEGR;25640;332
00434177082;COORD OPER CART PF PROCESSOS;25640;332
02039100415;DIR ADM FINANCEIRO FAI;76920;332
