CDC;Nome;Peso;Grade
00402940126;MATRIZ;22000;377
00434106717;DIR SOLUCOES MERC CAPITAIS;13000;377
00434135164;AREA OPERACOES COML AGS (RS);131000;377
00434135759;GRUPO PRODUTOS CASH;14000;377
00434136786;DIR NEGOCIO EMP BUSINESS E PRO;24000;377
00434138288;DIR NEGOCIOS EMP TOP BUSINESS;27000;377
00434166117;DIR EXEC NEGOCIOS VAREJO E EMP;130000;377
00434170061;DIR COMERCIAL CORP SP/INT/SUL;24000;377
00434171000;INVESTCRED CARTOES;20700;377
00434171301;UNID NEGOCIOS FIT;14200;377
00434172793;APOIO DIRETORIA GERAL VAREJO;20000;377
00434174607;DIR NEGOCIOS CARTOES EMISSOR;383600;377
00434175177;DIR EXEC PERSON EMP E CANAIS;33000;377
00434175492;SUP NEG FIC CARTOES;97700;377
00434176648;GER ENGENHARIA CARTOES 1;1800;377
02000500001;ITAU SEGUROS - MATRIZ;26000;377
03040100001;ITAU VIDA E PREV - MATRIZ;5400;377
03040104003;SUP PRODUTOS II;900;377
03040104004;CUSTOS-PREVIDENCIA PJ;100;377
03040104005;CUSTO PROD VIDA EM GRUPO;6500;377
03040104051;CUSTO PROD PRESTAMISTA;100;377
Z - CC Nao cadastrado;#N/D;5000;377
