CDC;Nome;Peso;Grade
00434105140;CEL REG BELO HORIZONTE;222200;232
00434108066;CEL PROC SERVS CONTR NEG BH;55500;232
00434134589;SUP INTERIOR SP;55500;232
00434134608;GSO MG BH IPATINGA;55500;232
00434134620;GSO MG BH ARAXA;55500;232
00434137687;GSO MONTES CLAROS PATOS MINAS;55500;232
00434137839;GSO MG CONTAGEM BETIM;55500;232
00434138116;SEGURANCA DO TRABALHO - MG;55500;232
00434138118;MEDICINA DO TRABALHO - MG;55900;232
00434170681;GSO GOVERNADOR VALADARES;55500;232
00434170682;GSO DIVINOPOLIS;55500;232
00434170683;GSO ALTO DO CAPARAO MG;55500;232
00434170684;GER SERV OP AG BH 2;55900;232
00434171156;LIDERANCA CULT PERFORMANCE;55500;232
00434176592;UNID OPERACOES;55500;232
