CDC;Nome;Peso;Grade
00434137513;AREA DE AUDITORIA;154000;247
00434139216;DIR SEGMENTO PERSONNALITE;154000;247
00434175554;INTEGRACAO VEICULOS;22000;247
00434175555;INTEGRACAO IMOBILIARIO;22000;247
00434175556;INTEGRACAO CONSORCIO;22000;247
00434175813;INTEGRACAO - BANCO PF;154000;247
00434175814;INTEGRACAO - AGENCIAS;154000;247
00434175816;INTEGRACAO - PREMIUM II;154000;247
00434175818;INTEG-CONSIG NAO CORRENTISTA;154000;247
00434175839;INTEGRACAO PESSOAS;5000;247
00434175840;INTEGRACAO UNIDADES EXTERNAS;5000;247
