CDC;Nome;Peso;Grade
00334134836;GER PAGAMENTOS CONTRATUAIS;1188;135
00402903401;RIO MAYRINK VEIGA;33;135
00403100127;HPC SC SP WASHING LUIS;33;135
00403100501;GER FRANQUIA OPER DE NAC;66;135
00403100724;UNID PRODUTOS ELETRONICOS;198;135
00403100726;UNID CONTROLE OPERACIONAL NACS;66;135
00403160045;UNID LEGAL HPC BCO MULTIPLO;99;135
00403160048;HPC SUPORTE ACQUIRER;165;135
00403187929;PRODUTOS EMISSOR;4521;135
00404800902;SUPORTE A PRESIDENCIA;33;135
00404803018;DIR FINANCIAL INSTITUT GROUP;66;135
00404803043;SUP PLANEJ E FRANQ CIB;33;135
00404803047;PSG - TESOURARIA - OPERACIONAL;99;135
00404803257;SUP COML AGRO NORTE;99;135
00404803590;ITAU LATAM;132;135
00404803806;SUP CONCESSAO CORP E MIDDLE 1;33;135
00404890552;TEC-INFRAEST.SERV.DE TI;231;135
00434100001;OSASCO SP;33;135
00434100009;CAMPINAS SP;1683;135
00434100011;ITAPIRA SP;33;135
00434100014;AMPARO SP;33;135
00434100057;S PAULO CENTRAL;1221;135
00434100093;RIO GRACA ARANHA;33;135
00434100121;PORTO FERREIRA SP;33;135
00434100146;OURINHOS SP;33;135
00434100148;UBERLANDIA MG;1122;135
00434100154;JOINVILLE SC;33;135
00434100161;S PAULO JD PAULISTA;396;135
00434100189;S PAULO PCA ROOSEVEL;33;135
00434100199;S PAULO ORFANATO;66;135
00434100208;ANAPOLIS GO;1716;135
00434100229;SAO JOAO DE MERITI R;99;135
00434100262;S PAULO AV PAULISTA;1848;135
00434100263;SAO BERN CAMPO RUD RAMOS;891;135
00434100366;FORTALEZA CE;165;135
00434100428;S PAULO ALAMEDA BARR;33;135
00434100548;CURITIBA PR;528;135
00434100658;JUNDIAI VILA ARENS;33;135
00434100725;S PAULO XV DE NOVEMB;99;135
00434100726;RIO VISCONDE DE PIRA;33;135
00434100735;S PAULO ESTADOS UNID;33;135
00434100803;VIDEIRA SC;66;135
00434100959;PLAT 0959 LEVES R JANEIRO;99;135
00434100963;PLAT 0963 LI CURITIBA;132;135
00434100964;PLAT 0964 LI BH MG INT;66;135
00434100989;PLAT CORP SP1;33;135
00434100995;UPPER IMOB;33;135
00434101000;S PAULO EST CONCEICAO;495;135
00434101001;SP PB CEIC;4026;135
00434101007;JUAZEIRO BA;33;135
00434101008;CONCORDIA SC;198;135
00434101016;S PAULO PERUS;66;135
00434101017;S BERN CAMPO TABOAO;33;135
00434101025;CAMPINAS PS PUC;33;135
00434101063;SP PB ITAUTEC RSV;198;135
00434101247;RECIFE PARQUE AMORIM;429;135
00434101403;BH AV JOAO PINHEIRO;1881;135
00434101404;VITORIA PARQUE MOSCO;33;135
00434101576;SALVADOR MERCADO DO;594;135
00434101627;ENG COELHO PB TRW;33;135
00434101890;BRASILIA PB SOBEBE;132;135
00434101942;PLAT BRAZILIAN DESK - IBA;99;135
00434101992;PPLAT FUNCHAL (MESA);33;135
00434102001;2001 AGOP MERC CAPIT;99;135
00434102013;PLAT 2013 LEVES SP LESTE;66;135
00434102014;PLAT 2014 LI UBERLANDIA MG INT;99;135
00434102191;MANAUS PB TRT REGIA;33;135
00434102250;PAULINIA SP TEX;66;135
00434102293;CAMPINAS PB H SAMARITANO;33;135
00434102517;GOIANIA PB C AGOSTIN;66;135
00434102600;2600 MALLET PR;33;135
00434102646;SP PB DURATEX SEDE;132;135
00434102651;SP PB TCM SP;33;135
00434102670;S PAULO PB COMPUTER;99;135
00434102688;LIMEIRA PB TRW;99;135
00434103012;CENT AT PJ PAULISTA;99;135
00434103017;CENT AT PJ CAMPINAS;33;135
00434103028;CENT AT PJ SALVADOR BA;33;135
00434103037;BH NOVA SUISSA;33;135
00434103044;ITABIRA MG;33;135
00434103076;BH PLANALTO;66;135
00434103227;MONTES CLAROS UAI MG;33;135
00434103366;PLAT 3366 IMOB COELHO FONSECA;33;135
00434103380;UNID OP P P BELO HTE;33;135
00434103382;BH PB SECR SAUDE;33;135
00434103454;UNID CRED IMOB CONV PERSON 4;66;135
00434103699;3699 MATELANDIA PR;66;135
00434103700;UNID COML CRED IMOB OESTE;99;135
00434103740;PERSONNALITE CENTRO;330;135
00434103743;UNID COML CRED IMOB INT SP;264;135
00434103747;PERSONNALITE CEIC;396;135
00434103765;PERSONNALITE FARIA LIMA;33;135
00434103820;PERSONNALITE RIO BRANCO;528;135
00434103835;CURITIBA COMENDADOR;33;135
00434104009;CAMPINAS EXTENSAO;33;135
00434104014;CURITIBA JOAO NEGRAO;33;135
00434104020;CAMPO LARGO PR;33;135
00434104039;SENGES PR;429;135
00434104083;PERSONNALITE PRES VARGAS;132;135
00434104090;PLAT PODER PUBLICO RJ;396;135
00434104094;PERSONNALITE RECIFE PQ AM;33;135
00434104099;PERSONNALITE NV CANTAREI;66;135
00434104172;GER DE INSPETORIA;759;135
00434104184;DIR NEGOCIOS VAREJO-N S CO;495;135
00434104247;PLAT PVT HIGH BH;66;135
00434104250;AG DIGITAL SUMARE 7;33;135
00434104274;SUP ENG INFRA ESTRUT TI;33;135
00434104277;UNID GEST CONT PROD ADM E DE A;1947;135
00434104332;UNID COML CRED IMOB SUL;231;135
00434104335;UNID COML CRED IMOB BH;693;135
00434104337;CAMPOS BELOS GO;33;135
00434104385;GOIANIA NOVO HORIZON;33;135
00434104409;SANTO ANTONIO DESCOB;33;135
00434104412;PLAT 4412 REVENDA CAMPINAS II;66;135
00434104427;PLAT 4427 CONC VITORIA;99;135
00434104428;PLAT 4428 CONC UBERLANDI MG IN;33;135
00434104444;UNID APOIO OPERACIONAL DAC CAT;1023;135
00434104462;PLAT 4462 CONC RECIFE;33;135
00434104464;UNID CONTAB - WMS;33;135
00434104471;PLAT 4471 MIT CURITIBA;33;135
00434104490;CENTRO TP - CURITIBA;297;135
00434104517;UNID ESTRATEG DE VENDAS PF;66;135
00434104532;COORD CAUSA RAIZ;132;135
00434104568;PLAT 4568 VENDAS DIRETAS MG;33;135
00434104584;UNID OUTBOUND PF;66;135
00434104617;GSO MA / PI / AL;66;135
00434104668;GER CONTR OP BNDES/FIN E FIANC;1089;135
00434104674;DIR NEGOCIOS VAREJO-GRANDE SP;627;135
00434104728;UNID PLANEJ OPER T?TICO;99;135
00434104735;PLAT 4735 VENDAS DIRETAS CURIT;66;135
00434104737;PLAT 4737 VENDAS DIRETAS RECIF;33;135
00434104753;SOROCABA PB JARAGUA 076;363;135
00434104813;RIO BONITO RJ;66;135
00434104846;UNID PROJETOS ORIG VEICULOS;660;135
00434104850;GER PAGAMENTO ARREC QUALIDADE;429;135
00434104873;GER DOCUMENTOS E SUBSIDIOS;99;135
00434104881;SUP RIO DE JANEIRO 1;99;135
00434104929;SUP CONTR LIQ OPER FINANC DPSA;231;135
00434104979;UNID ASSUNTOS CORPORATIVOS;99;135
00434105006;RIO PARK SHOP CPO GRANDE;66;135
00434105015;PLAT 5015 FIAT CURITIBA;66;135
00434105017;PLAT 5017 FIAT CAMPINAS;66;135
00434105021;PLAT 5021 FIAT BH;99;135
00434105025;DIR NEGOCIOS VAREJO-RJ ES NE;99;135
00434105026;PLAT 5026 FIAT RECIFE;99;135
00434105035;PLAT 5035 FIAT MACEIO;99;135
00434105043;PLAT PVT ULTRA SP W3;33;135
00434105045;PLAT PVT FAMILY OFFICE 2;33;135
00434105052;PLAT PVT TL  HIGH SP 3;66;135
00434105053;PVT HIGH SP 1;99;135
00434105055;PLAT PVT SPECIAL SP 3;66;135
00434105116;GER INTELIG E PERF DIGITAL;132;135
00434105140;CEL REG BELO HORIZONTE;99;135
00434105163;SUP RO ATACADO;231;135
00434105182;CEL REG CURITIBA;132;135
00434105187;CEL REG SALVADOR;33;135
00434105193;PERSONNALITE UBERLANDIA;561;135
00434105238;GER ESTUDOS ORCAMENTARIOS;264;135
00434105314;GER ATEND COLABORAD E INVESTIM;1617;135
00434105362;UNID ATEND SAC 1;99;135
00434105452;GER K-OPERACOES DE COBRANCA;726;135
00434105580;GER ROTATIVOS PF;66;135
00434105657;CENTRALIZADOR FOLHA DE PGTO AP;33;135
00434105701;CEL ATEND DIGIT PERSONNALITE 1;33;135
