CDC;Nome;Peso;Grade
00434171000;INVESTCRED CARTOES;11600;492
02052300714;LUIZACRED;100600;492
07030100402;GER NEGOCIOS GPA;79000;492
07030100526;UNID VIA VAREJO NOVA PONTO COM;41500;492
07042600020;LOJAS MARISA MATRIZ ACC;37500;492
07042600031;PRODUTO TIM;2000;492
07042600149;PROD CANAL TAM;13100;492
07042600256;IPIRANGA;5500;492
07042600263;PROD FIAT ITV;4700;492
07042600273;CREDICARD CAS;90300;492
07042600274;PROD FORD;800;492
07042600275;PROD MITSUBISHI;100;492
07042600276;PROD VOLKSWAGEM;1200;492
07042600549;PRODUTO VIVO PRE PAGO;4000;492
07042600557;PROD LIVRARIA;100;492
07042600561;ADM ITAUCARD LOJISTAS;5200;492
07042600601;PRODUTO ITC VEICULOS;2100;492
07042600602;PROD CANAL PERSONNALITE;42600;492
07042603154;PROD CANAL CL;125600;492
07042604218;BR ESCOPO-BRASTEMP;2100;492
07042604226;BR ESCOPO-SULAMERICA CARDS;100;492
07042604236;BR ESCOPO-IAS- INST AIRTON SEN;3000;492
07042605004;PROD CANAL AOCA;170100;492
07042605055;PROD CANAL UNICLASS;85900;492
07042607792;PROD CARTAO NETSHOES;300;492
07042609900;PROD FIAT ACC;2900;492
07042609938;PROD AZUL;1000;492
Z - CC Nao cadastrado;#N/D;167100;492
