CDC;Nome;Peso;Grade
00403160047;HPC SUPORTE EMISSOR;128221;133
00434105452;GER K-OPERACOES DE COBRANCA;113578;133
00434135470;UNID COB ADM CRED IMOB;2089;133
00434136813;UNID POLITICA CANAL COMERCIAL;195266;133
00434162973;SUP COML ITAU UNICLASS 07;4572;133
00434171998;PROJETOS CRED COB PF;119021;133
00434175147;UNID PARC RECUP PJ;12852;133
02039200103;SUP VAREJO FAI;29458;133
02052300714;LUIZACRED;106560;133
07030100402;GER NEGOCIOS GPA;106923;133
07042600020;LOJAS MARISA MATRIZ ACC;30238;133
07042672115;PROCESSOS CAR;151170;133
Z - CC Nao cadastrado;ND;0;133
