CDC;Nome;Peso;Grade
00434103119;BOM DESPACHO MG;5302.45;490
00434107549;NOVA ODESSA PB PREF;33643.61;490
00434107982;BELEM ANTONIO BARRET;43745.43;490
00434135724;SUP HIGH ALPHA;5302.37;490
00434136404;DIR GLOBAL ASSET MANAGEMENT;5302.37;490
00434136406;SUP COMERC INVESTI INSTITUC SS;10604.74;490
00434141043;SUP IBD EQUITY CAPITAL MARKETS;5302.37;490
00434141050;GER IBD POOL;5302.37;490
00434143654;MESA DE CAMBIO E TRADE FINANCE;53023.7;490
00434145210;GER BETA;5302.37;490
00434145231;GER IMPLEMENTACAO MANDATOS;10604.74;490
00434148651;SUP RIS CRED GRANDES EMPRESAS;1325.59;490
00434162899;GER GESTAO METODOLOGIA PROCESS;5302.37;490
00434163970;BI-FI-DERIV.-VENDAS ATACADO;15907.11;490
00434165120;GER RELACIONAMENTO CLIENTE PF;15907.11;490
00434165659;SUP TES TRAD RENDA FIXA LOCAL;5302.37;490
00434169389;DIR CRED CIB LARGE AGRO;3976.77;490
00434170464;UNID POST TRADE ASSET;5302.37;490
00434171913;GER PRECIFICACAO CORP ACTIONS;5302.37;490
00434173397;GER DE NEGOCIOS DE CAMBIO PJ;42418.96;490
00434173748;GER DE SUPORTE A GESTAO ASSET;10604.74;490
00434175494;SUP HEAD INVEST E DISTR;15907.11;490
00434175533;SUP GLOBAL PORTFOLIOS;10604.74;490
00434176759;SUP RELACOES COM INVESTIDORES;5302.37;490
01039900213;DIR PVT EQUITY;5302.37;490
05033301098;COORD TEAM LEADER 1 CORRET PF;32001.92;490
Z - CC Nao cadastrado;#N/D;636095.21;490
