CDC;Nome;Peso;Grade
00402940126;MATRIZ;18;106
00403100127;HPC SC SP WASHING LUIS;9;106
00403100555;HPC HIP ARACAJU JARDINS;254;106
00403100560;HPC SUP ARACAJU SANEAMTO;9;106
00403100561;HPC SUP ARACAJU RODOV SE;9;106
00403100562;HPC HIP ARACAJU;32;106
00403100563;HPC SUP ARACAJU SIQ CPO;9;106
00403100566;HPC TD ARAPIRACA I;9;106
00403100567;HPC MAXXI ARAPIRACA;9;106
00403100570;HPC SUP CAMPINA GDE III;9;106
00403100572;HPC HIP CAMPINA GRANDE I;25;106
00403100574;HPC MAXXI CAMPINA GRANDE;9;106
00403100575;HPC TD ESTANCIA SE;9;106
00403100577;HPC TD J PESSOA STA RITA;9;106
00403100578;HPC HIP J PESSOA LAGOA;9;106
00403100579;HPC HIP J PESSOA BESSA;9;106
00403100580;HPC SUP J PESSOA CASTRO;9;106
00403100581;HPC SUP J PESSOA EPITACIO;9;106
00403100584;HPC TD LAGARTO SE;9;106
00403100585;HPC TD MACEIO STA LUCIA;9;106
00403100586;HPC MAXXI MACEDO;9;106
00403100587;HPC MINI MERCADO MACEIO;9;106
00403100588;HPC SAMS MACEIO;1;106
00403100589;HPC HIPER MACEIO JATIUCA;9;106
00403100590;HPC TD MACEIO CLIMA BOM;9;106
00403100591;HPC HIP MACEIO FAROL;16;106
00403100592;HPC HIP MACEIO BUARQUE;12;106
00403100593;HPC SUP MACEIO PAJUCARA;9;106
00403100594;HPC SUP MACEIO CEASA;9;106
00403100595;HPC SUP MACEIO FAROL;9;106
00403100596;HPC TD MACEIO JACINTINHO;9;106
00403100597;HPC SUP MACEIO P VERDE;9;106
00403100599;HPC SAMS NATAL;104;106
00403100645;HPC HIP SALV CABULA;18;106
00403100646;HPC HIP SALV F SANTANA;181;106
00403100649;HPC HIP VITORIA CONQUIST;18;106
00403100652;HPC MAXXI SALV MARES;9;106
00403100653;HPC MAXXI SALV PAU LIMA;9;106
00403100654;HPC MINI SALV PARIPE;9;106
00403100656;HPC MINI SIMOES FILHO;9;106
00403100659;HPC SUP CANDEIAS BAHIA;9;106
00403100660;HPC SUP DIAS D AVILA BA;9;106
00403100661;HPC SUP SALV ARMACAO;9;106
00403100663;HPC SUP SALV BOCA DO RIO;9;106
00403100664;HPC SUP SALV CHAME CHAME;9;106
00403100666;HPC SUP SALV FONTE NOVA;9;106
00403100667;HPC SUP SALV IAPI;9;106
00403100668;HPC SUP SALV ITAPUA;9;106
00403100669;HPC SUP SALV LG PAPAGAIO;9;106
00403100670;HPC SUP SALV LIBERDADE;9;106
00403100671;HPC SUP SALV MATATU;9;106
00403100672;HPC SUP SALV NAZARE;9;106
00403100674;HPC SUP SALV PLATAFORMA;9;106
00403100675;HPC SUP SALV R VERMELHO;9;106
00403100676;HPC SUP SALV SAO CAETANO;9;106
00403100677;HPC SUP SALV VASCO GAMA;9;106
00403100678;HPC TD ALAGOINHA BA;9;106
00403100679;HPC TD CAMACARI;9;106
00403100680;HPC TD CRUZ DAS ALMAS;9;106
00403100681;HPC TD F SANT KALILANDIA;9;106
00403100682;HPC TD F SANT SR PASSOS;9;106
