CDC;Nome;Peso;Grade
00434132284;LUIZA;85282.94;426
00434147224;DIR CANAIS INTERNOS & CLIENTE;289842.06;426
00434167239;GER RELAC COML LOJISTA E IPI;7698.46;426
00434167244;SUP NEG BIG MARISA IPIRANGA;165066.98;426
00434169862;UNID IPIRANGA;5698.86;426
00434171000;INVESTCRED CARTOES;16296.74;426
00434175204;GER CHAP PROD VM1 - MAR E IPI;35992.8;426
00434175470;PROCESSOS CARTOES;167266.54;426
00434175492;SUP NEG FIC CARTOES;69386.12;426
00434176665;GER LEGADO BANCO RJ;106278.74;426
00434178103;GER MKTPLACE CRM E DIGI FIC;51189.76;426
