CDC;Nome;Peso;Grade
00402909455;MATRIZ;43;118
00402909501;FILIAL COML HORIZ BELO HORIZON;129;118
00402909504;FILIAL COML HORIZ RIO JANEIRO;43;118
00402909527;FILIAL COML HORIZ FLORIANOPOLI;215;118
00402909541;FILIAL COML HORIZ CAMPO GRANDE;129;118
00402909543;FILIAL BELEM PA;172;118
00402909545;FILIAL COML HORIZ FORTALEZA-CE;258;118
00402909551;FILIAL PORTO VELHO RO;258;118
00402909555;FILIAL RECIFE PE;215;118
00402909561;FILIAL NATAL;43;118
00402940101;REG COML HORIZ CONSIG 1 IC;344;118
00402957648;HUB ITAU CORRESPONDENTE;86;118
00403100127;HPC SC SP WASHING LUIS;43;118
00403100427;HPC SC CABRAL PR;43;118
00403100560;HPC SUP ARACAJU SANEAMTO;43;118
00403100562;HPC HIP ARACAJU;215;118
00403100563;HPC SUP ARACAJU SIQ CPO;258;118
00403100564;HPC SUP ARACAJU JARDINS;43;118
00403100566;HPC TD ARAPIRACA I;43;118
00403100567;HPC MAXXI ARAPIRACA;43;118
00403100571;HPC HIP CAMPINA G MIRANT;215;118
00403100572;HPC HIP CAMPINA GRANDE I;215;118
00403100574;HPC MAXXI CAMPINA GRANDE;215;118
00403100578;HPC HIP J PESSOA LAGOA;215;118
00403100579;HPC HIP J PESSOA BESSA;215;118
00403100580;HPC SUP J PESSOA CASTRO;43;118
00403100581;HPC SUP J PESSOA EPITACIO;215;118
00403100588;HPC SAMS MACEIO;215;118
00403100589;HPC HIPER MACEIO JATIUCA;43;118
00403100591;HPC HIP MACEIO FAROL;43;118
00403100593;HPC SUP MACEIO PAJUCARA;43;118
00403100595;HPC SUP MACEIO FAROL;43;118
00403100596;HPC TD MACEIO JACINTINHO;43;118
00403100597;HPC SUP MACEIO P VERDE;43;118
00403100598;HPC HIP BP MOSSORO;215;118
00403100599;HPC SAMS NATAL;215;118
00403100645;HPC HIP SALV CABULA;215;118
00403100646;HPC HIP SALV F SANTANA;43;118
00403100649;HPC HIP VITORIA CONQUIST;215;118
00403100652;HPC MAXXI SALV MARES;43;118
00403100653;HPC MAXXI SALV PAU LIMA;43;118
00403100656;HPC MINI SIMOES FILHO;43;118
00403100659;HPC SUP CANDEIAS BAHIA;43;118
00403100661;HPC SUP SALV ARMACAO;43;118
00403100663;HPC SUP SALV BOCA DO RIO;43;118
00403100664;HPC SUP SALV CHAME CHAME;43;118
00403100666;HPC SUP SALV FONTE NOVA;258;118
00403100667;HPC SUP SALV IAPI;43;118
00403100668;HPC SUP SALV ITAPUA;43;118
00403100670;HPC SUP SALV LIBERDADE;43;118
00403100672;HPC SUP SALV NAZARE;43;118
00403100674;HPC SUP SALV PLATAFORMA;43;118
00403100675;HPC SUP SALV R VERMELHO;43;118
00403100676;HPC SUP SALV SAO CAETANO;43;118
00403100677;HPC SUP SALV VASCO GAMA;43;118
00403100683;HPC TD F SANTANA TOMBA;43;118
00403100686;HPC TD SALV CASTELO BRAN;43;118
00403100692;HPC TD SALV SAO CAETANO;43;118
00403100695;HPC TD SERRINHA BA;215;118
00403100696;HPC TD STO AMARO BA;43;118
00403100697;HPC TD STO ANTONIO JESUS;215;118
00403100699;HPC TD VALENCA BA;215;118
00403100707;HIPERCARD EMISSOR;129;118
00403100727;HPC SUP S LUIS OLHO AGUA;215;118
00403100731;HPC SAMS CONTAGEM;43;118
00403100732;HPC SC CONTAGEM;43;118
00403100733;HPC SC UBERABA;258;118
00403100736;HPC SC CAMPO GDE NORTH;215;118
00403100737;HPC HIP CARUARU;43;118
00403100738;HPC HIP JABOATAO GUARARA;43;118
00403100739;HPC HIP OLINDA;215;118
00403100740;HPC HIP PETROLINA;215;118
00403100741;HPC HIP RECF AV RECIFE;43;118
00403100742;HPC HIP RECF BOA VIAGEM;215;118
00403100743;HPC HIP RECF CASA FORTE;215;118
00403100744;HPC HIP RECF CAXANGA;43;118
00403100745;HPC HIP RECF TACARUNA;172;118
00403100748;HPC SUP JABOATAO PIEDADE;43;118
00403100750;HPC SUP PAULISTA JANGA;43;118
00403100751;HPC SUP PETROLINA;215;118
00403100752;HPC SUP RECF ARRUDA;43;118
00403100753;HPC SUP RECF BENFICA;43;118
00403100754;HPC SUP RECF CASA AMAREL;43;118
00403100755;HPC SUP RECF CONS AGUIAR;258;118
00403100756;HPC SUP RECF DOMINGOS FE;215;118
