CDC;Nome;Peso;Grade
00402909488;VICE-PRES EXEC RECURSOS OPER;5940;213
00402940126;MATRIZ;972;213
00403101007;COORD FINANCEIRA;864;213
00403101050;AREA DE RECURSOS HUMANOS;432;213
00403105657;DIR DE RELACOES DO TRABALHO;108;213
00404800025;DIR EXEC CORP & IB;108;213
00404801044;WEALTH MANAGEMENT SERVICES;1080;213
00404803026;REGIONAL CLIENTES CORP AGRO;324;213
00404803085;DIR EXE MIDDLE MARKET;756;213
00404803166;SUP PROD ME UNID EXT E INST;324;213
00404803590;ITAU LATAM;108;213
00404808849;WMS-DIR EXEC INVEST PF E PREV;108;213
00404890223;SUP CASH CIB;108;213
00434100002;S PAULO ANTONIO BARROS;108;213
00434100019;JUNDIAI SP;108;213
00434100047;S PAULO VILA MONUMEN;216;213
00434100048;S PAULO BAIRRO DA LA;108;213
00434100054;PIRACICABA SP;216;213
00434100057;S PAULO CENTRAL;108;213
00434100192;S PAULO BORBA GATO;216;213
00434100216;LAGES SC;540;213
00434100217;S PAULO AROUCHE;756;213
00434100228;ITAPEVI SP;432;213
00434100257;DIADEMA SP;108;213
00434100265;S PAULO BUTANTA;216;213
00434100274;CURITIBA MAL FLORIAN;108;213
00434100337;VOLTA REDONDA RJ;432;213
00434100959;PLAT 0959 LEVES R JANEIRO;3780;213
00434100960;PLAT 0960 LI RS;1944;213
00434100963;PLAT 0963 LI CURITIBA;5076;213
00434100964;PLAT 0964 LI BH MG INT;3780;213
00434100970;PLAT 0970 ITAUCRED BRASILIA;3456;213
00434101040;BARUERI PS HEWLETT PACK;324;213
00434101043;EMBU SP SAN;648;213
00434101610;S PAULO 25 DE MARCO;108;213
00434101641;PETROPOLIS-RUA TERES;216;213
00434101941;PLAT CORP BH;108;213
00434101946;PLAT CORP SUL;108;213
00434101992;PPLAT FUNCHAL (MESA);3348;213
00434101993;PLAT 1993 ITAUCRED RIO BARRA;3132;213
00434101995;PLAT 1995 LEVES SP CENTRO;4212;213
00434101997;PLAT 1997 JLR SP;2484;213
00434101998;PLAT 1998 LI PR INT;3996;213
00434102000;SPAULO AV LUIS C BER;216;213
00434102003;PLAT 2003 CONC SP INTERIOR;2052;213
00434102013;PLAT 2013 LEVES SP LESTE;3780;213
00434102014;PLAT 2014 LI UBERLANDIA MG INT;2700;213
00434102020;PLAT 2020 LEVES GOIANIA;4320;213
00434102021;PLAT 2021 LEVES NITEROI;2592;213
00434102023;PLAT 2023 LEVES SP SUL;4320;213
00434102025;PLAT 2025 LEVES BAURU;3132;213
00434102026;PLAT 2026 LEVES SANTOS;1944;213
00434102027;PLAT 2027 LEVES SOROCABA;3564;213
00434102028;PLAT 6838 LI MS;1728;213
00434102030;PLAT 2030 JLR CAMPINAS;2916;213
00434102032;PLAT 2032 CONC SP CAPITAL;2592;213
00434102033;PLAT 2033 ITAUCRED LONDRINA;1404;213
