CDC;Nome;Peso;Grade
00402940126;MATRIZ;90909.09;446
00404890225;SUP PROD VENDAS CASH 2 CORP;90909.09;446
00434141063;UNID MESA CAMBIO MIDDLE MKT;90909.1;446
00434141137;DIR COMERCIAL ULTRA 2;90909.09;446
00434141139;COML ULTRA 2 POA;90909.09;446
00434141140;COML LARGE POA;90909.09;446
00434141141;REGIONAL CLIENTES CORP POA;90909.09;446
00434141176;PROD-CASH M-COM 4-CORP SUL-POA;90909.09;446
00434141356;GER MIDDLE OFFICE CIB SUL RJ;90909.09;446
00434141357;COORD MIDDLE OFFICE CIB POA;90909.09;446
00434143327;SERV CASH-PORTO ALEGRE;90909.09;446
