CDC;Nome;Peso;Grade
00434100207;CAXIAS DO SUL RS;393965;126
00434100280;P ALEGRE-CEL VICENTE;202480;126
00434101943;PLAT LARGE CORP LCSUL;12749;126
00434110207;0207 CAXIAS DO SUL RS;71516;126
00434110280;0280 P ALEGRE-CEL VICENTE;8;126
00434134061;SUP SOLUC REDES E DATA CENTER;5997;126
00434142612;GER PLAT FIAT BLUMENAU;58694;126
00434144005;PLAT ITAU-EMP 2 0207 CAXIAS SU;105995;126
00434144007;PLAT ITAU EMP TOP 0280 POA CEL;9543;126
00434146101;PLAT ITAU-EMP 3 0207 CAXIAS DO;6203;126
00434146417;PLAT ITAU EMP BUS 0280 P ALEGR;8961;126
00434162959;GSO PAB SUL;6421;126
00434163707;PLAT UNICLASS 0207;1363;126
00434170080;COML CORP SUL POA;893;126
00434172615;PROD VENDAS ATIVOS 9 POA;66263;126
00434173233;APJ 0280 PORTO ALEGRE CORONEL;2;126
00434173242;APJ 0207 CAXIAS DO SUL RS;48929;126
00434173700;SUPERINT COML REG 47-GOINTERIO;2;126
