CDC;Nome;Peso;Grade
07042600063;PROD CANAL BA;20;375
07042600220;PROD CANAL CARTOES EMP 4;16100;375
07042600251;PRPD RUN OFF;10;375
07042600344;PROD CANAL CORR LEGADO ORG47;10;375
07042600601;PRODUTO ITC VEICULOS;3580;375
07042600602;PROD CANAL PERSONNALITE;432740;375
07042600636;PROD CANAL PRIVATE;12160;375
07042600642;PROD CANAL CARTOES EMP 2;30;375
07042600673;PROD CANAL CARTOES ATACADO;10;375
07042603154;PROD CANAL CL;177260;375
07042603673;PROD CANAL CARTOES EMP 3;470;375
07042605004;PROD CANAL AOCA;140010;375
07042605055;PROD CANAL UNICLASS;217600;375
