CDC;Nome;Peso;Grade
00434105314;GER ATEND COLABORAD E INVESTIM;12692.38;382
00434109822;GER ATEND 30H PERSONNALITE;25284.82;382
00434109928;UNID ATEND PERSONNALITE;25284.82;382
00434132111;UNID ATEND 30H 4;25284.82;382
00434134043;SUP ATEND SUP MICROINFO;12692.38;382
00434136058;GER ADM PREDIAL II;75854.49;382
00434136676;UNID CONTROLE DE ACESSO;50569.66;382
00434136802;SUP OPERACOES INTERNAS PF;50669.77;382
00434137459;SUP ATD EMPRESAS CASH OPB;12692.38;382
00434138741;GER DE SEGURANCA-ADM CENTRAL;25284.82;382
00434146650;GER PROJETOS DE ATENDIMENTO;25284.82;382
00434163600;COORDENACAO CANAIS CRITICOS 2;12692.38;382
00434165488;UNID ATEND 30H 6;25284.82;382
00434165516;UNID ATEND SAC 3;12692.38;382
00434167198;UNID ATEND 30H 5;25284.82;382
00434170060;DIR PRODUTOS EMPRESAS;50569.66;382
00434170714;DIR ATENDIMENTO AO CLIENTE;12692.38;382
00434171246;SUP INVESTFONE;25284.82;382
00434171954;GERENCIA SERVICOS DE TI;88546.89;382
00434173176;DEMAIS AMBULATORIOS;75854.49;382
00434175178;DIRETORIA FRANQUIA AGENCIAS;37977.21;382
00434175716;DIR OPER ATEND E SERVS ACIVS;12692.38;382
00434176148;UNID ATEND PESSOAS E GERA;25284.82;382
00434176296;GER ATEND SAC CORP E EXTERNAS;12692.38;382
00434176485;SUP BENEFICIOS E SAUDE OCUPACI;12692.38;382
00434176672;GER CALCULOS. GARANT E PGTOS;12692.38;382
00434176673;SUP PROJ PLANEJ E COMMAND;12692.38;382
00434176674;GER PROJ PROC OPERACOES REDE;12692.38;382
00434176677;UNID COMUNICACAO CALL CENTER;12692.38;382
00434176678;GER PROJETOS MIDDLE;25384.76;382
00434177058;UNID PLANEJ PERFORMANCE INT 1;12692.38;382
00434177059;CEL PLANEJ ESCALAS E MANUT 3;12692.38;382
00434177060;UNID PLANEJ RESULTADO MONIT;12692.38;382
00434177061;UNID ROTEAMENTO;12692.38;382
00434177064;COORD SUBSIDIOS 1;25284.82;382
00434177417;AREAS DESOCUPADAS;25284.82;382
02058508048;OCUPACAO ITM;37977.21;382
Z - CC Nao cadastrado;#N/D;12692.38;382
