CDC;Nome;Peso;Grade
00434134323;GPO APOIO UNIDADES EXTERIOR;54347.82;266
00434137513;AREA DE AUDITORIA;121376.81;266
00434139216;DIR SEGMENTO PERSONNALITE;121376.81;266
00434175813;INTEGRACAO - BANCO PF;121376.81;266
00434175814;INTEGRACAO - AGENCIAS;121376.81;266
00434175816;INTEGRACAO - PREMIUM II;121376.81;266
00434175818;INTEG-CONSIG NAO CORRENTISTA;121376.81;266
00434175833;CEL INTEGRACAO CARTOES ITAU;54347.82;266
00434175834;INTEGRACAO FIC ITAU;54347.82;266
00434175835;INTEGRACAO FAI ITAU;54347.86;266
00434175845;INTEGRACAO - TECNOLOGIA;54347.82;266
