CDC;Nome;Peso;Grade
00402940126;MATRIZ;71429;444
00404800302;DIR MESAS E PRODUTOS MARKETS;71428;444
00404800580;SUP MIDDLE OFF OP NAC INT CAM;71428;444
00404803224;DIR DO AGRONEGOCIO;71429;444
00434141115;DIR COML LARGE SP2;71429;444
00434141120;COML LARGE SP2 CPS;71429;444
00434141121;REGIONAL CLIENTES LGECORP AGRO;71429;444
00434141122;REGIONAL CLIENTES CORP AGRO;71429;444
00434141124;REGIONAL CLIENTES CORP CPS;71428;444
00434141163;PROD.CASH MANAG.-COM2-CORP CP;71428;444
00434141164;PROD.C.MAN-COM 2-LARGE CAMP;71428;444
00434141219;COORD PRE-CONTRATACAO CASH;71428;444
00434141354;COORD MIDDLE OFFICE CIB CPS;71429;444
00434143180;DIR AGRO REGIONAL;71429;444
