CDC;Nome;Peso;Grade
00402903401;RIO MAYRINK VEIGA;86956.4;434
00434103424;RIO COELHO NETO;43478.3;434
00434103427;RIO ALFANDEGA;43478.3;434
00434103692;NITEROI G PEIXOTO RJ;43478.4;434
00434103694;RIO PASSAGEM;43478.2;434
00434103697;NITEROI SHOPPING;43478.2;434
00434103699;3699 MATELANDIA PR;43478.2;434
00434103700;UNID COML CRED IMOB OESTE;43478.2;434
00434103701;CURITIBA ANITA GARIB;43478.2;434
00434103702;CURITIBA AUGUST STRE;43478.2;434
00434103703;CURITIBA AV DAS TORR;43478.3;434
00434103704;CURITIBA PRADO VELHO;43478.3;434
00434103705;CURITIBA MATEUS LEME;43478.3;434
00434103706;CURITIBA CARMO;43478.3;434
00434103707;CURITIBA BOM RETIRO;43478.3;434
00434103708;CURITIBA SAO BRAZ;43478.3;434
00434103709;COLOMBO PR;43478.3;434
00434103710;FOZ IGUACU PTE AMIZA;43478.3;434
00434103711;JACAREZINHO PR;43478.3;434
00434103712;LONDRINA LAGO IGAPO;43478.3;434
Z - CC Nao cadastrado;#N/D;86956.4;434
