CDC;Nome;Peso;Grade
00434100897;PORTO ALEGRE RS;76923.07;404
00434106201;P ALEGRE 7 DE SETEMB;76923.16;404
00434134488;CENTRO TP - PORTO ALEGRE;76923.07;404
00434134993;SUPERINT COML REG 44-PR NORTE;76923.07;404
00434138372;UNID RELAC SINDICAIS RS;76923.07;404
00434140436;REGIONAL MIDDLE 9882 POA;76923.07;404
00434162613;PLAT UNICLASS 6201;76923.07;404
00434168124;PLAT UNICLASS 0897;76923.07;404
00434173239;APJ 0897 POA RS;76923.07;404
00434177417;AREAS DESOCUPADAS;76923.07;404
00434179273;APJ 6201 P ALEGRE 7 SETEMBRO;76923.07;404
00434189484;SUDESTE PESADOS;76923.07;404
01053800211;UNID OPERACOES RS;76923.07;404
