CDC;Nome;Peso;Grade
00404840509;DIR CASH MANAGEMENT ATACADO;20000;455
00434132238;PROD VENDAS DIRECIONADOS 2 POA;20000;455
00434132244;PROD VENDAS ATIVOS 6 POA;60000;455
00434140427;SUP COML MIDDLE RS SC;20000;455
00434140430;REGIONAL MIDDLE 6978 POA;160000;455
00434140431;REGIONAL MIDDLE 9933 POA;120000;455
00434140436;REGIONAL MIDDLE 9882 POA;140000;455
00434140437;UNID MIDDLE 6201 PELOTAS;40000;455
00434140587;OPER MIDDLE 9882 POA;40000;455
00434140721;OPER MIDDLE 6978 POA;60000;455
00434165260;PROD VENDAS ATIVOS 8 POA;20000;455
00434170080;COML CORP SUL POA;80000;455
00434172937;SUP COML CORP SUL;20000;455
00434172969;OPER MIDDLE 9933 POA;40000;455
00434175155;GERENCIA DE GOVERNANCA;20000;455
00434177441;GER CONCESSAO MIDDLE POA;80000;455
00434177638;GER CASH MIDDLE 3 POA;60000;455
